pod_1_id,username,pod_1_preference
1,User 1,User 2
2,User 2,User 1
3,User 3,User 4
4,User 4,User 3
5,User 5,User 6
6,User 6,User 5
7,User 7,User 8
8,User 8,User 7
9,User 9,User 10
10,User 10,User 9
11,User 11,User 12
12,User 12,User 11
13,User 13,User 14
14,User 14,User 13
15,User 15,User 16
16,User 16,User 15
17,User 17,User 18
18,User 18,User 17
19,User 19,User 20
20,User 20,User 19
21,User 21,User 22
22,User 22,User 21
23,User 23,User 24
24,User 24,User 23
25,User 25,User 26
26,User 26,User 25
27,User 27,User 28
28,User 28,User 27
29,User 29,User 30
30,User 30,User 29
31,User 31,User 32
32,User 32,User 31
33,User 33,User 34
34,User 34,User 33
35,User 35,User 36
36,User 36,User 35
37,User 37,User 38
38,User 38,User 37
39,User 39,User 40
40,User 40,User 39
41,User 41,User 42
42,User 42,User 41
43,User 43,User 44
44,User 44,User 43
45,User 45,User 46
46,User 46,User 45
47,User 47,User 48
48,User 48,User 47
49,User 49,User 50
50,User 50,User 49
51,User 51,User 52
52,User 52,User 51
53,User 53,User 54
54,User 54,User 53
55,User 55,User 56
56,User 56,User 55
57,User 57,User 58
58,User 58,User 57
59,User 59,User 60
60,User 60,User 59
61,User 61,User 62
62,User 62,User 61
63,User 63,User 64
64,User 64,User 63
65,User 65,User 66
66,User 66,User 65
67,User 67,User 68
68,User 68,User 67
69,User 69,User 70
70,User 70,User 69
71,User 71,User 72
72,User 72,User 71
73,User 73,User 74
74,User 74,User 73
75,User 75,User 76
76,User 76,User 75
77,User 77,User 78
78,User 78,User 77
79,User 79,User 80
80,User 80,User 79
81,User 81,User 82
82,User 82,User 81
83,User 83,User 84
84,User 84,User 83
85,User 85,User 86
86,User 86,User 85
87,User 87,User 88
88,User 88,User 87
89,User 89,User 90
90,User 90,User 89
91,User 91,User 92
92,User 92,User 91
93,User 93,User 94
94,User 94,User 93
95,User 95,User 96
96,User 96,User 95
97,User 97,User 98
98,User 98,User 97
99,User 99,User 100
100,User 100,User 99
